src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,combined
storage,credenzas buffets  sideboards,office  file storage,0.0,,home,furniture,storage,,storage credenzas buffets  sideboards office  file storage
storage,credenzas buffets  sideboards,storage benches,1.0,,home,furniture,storage,,storage credenzas buffets  sideboards storage benches
storage,credenzas buffets  sideboards,storage consoles,0.0,,home,furniture,storage,,storage credenzas buffets  sideboards storage consoles
storage,credenzas buffets  sideboards,wallmounted shelving  storage,2.0,,home,furniture,storage,,storage credenzas buffets  sideboards wallmounted shelving  storage
storage,home organization,book storage  organization,,,home,organization,,,storage home organization book storage  organization
storage,home organization,boxes baskets  crates,0.0,,home,organization,baskets and bins,,storage home organization boxes baskets  crates
storage,home organization,folding screens  room dividers,0.0,,home,organization,,,storage home organization folding screens  room dividers
storage,home organization,freestanding shelving  storage,0.0,,home,furniture,storage,,storage home organization freestanding shelving  storage
storage,home organization,hanging racks  hooks,0.0,,home,organization,,,storage home organization hanging racks  hooks
storage,home organization,office organization  storage,0.0,,home,organization,,,storage home organization office organization  storage
storage,home organization,step stools,0.0,,home,organization,,,storage home organization step stools
storage,home organization,trays  catchalls,0.0,,home,organization,,,storage home organization trays  catchalls
storage,home organization,wallmounted organization,,,home,organization,,,storage home organization wallmounted organization
storage,media storage,,101.0,,home,furniture,storage,,storage media storage 
storage,shelves  bookcases,bar carts  trolleys,0.0,,home,furniture,storage,,storage shelves  bookcases bar carts  trolleys
storage,shelves  bookcases,coat racks,0.0,,home,furniture,storage,,storage shelves  bookcases coat racks
storage,shelves  bookcases,credenzas  sideboards,0.0,,home,furniture,storage,,storage shelves  bookcases credenzas  sideboards
storage,shelves  bookcases,entryway storage  organization,0.0,,home,furniture,storage,,storage shelves  bookcases entryway storage  organization
storage,shelves  bookcases,freestanding shelving  storage,7.0,,home,furniture,storage,,storage shelves  bookcases freestanding shelving  storage
storage,shelves  bookcases,office  file storage,0.0,,home,furniture,storage,,storage shelves  bookcases office  file storage
storage,shelves  bookcases,office shelving,0.0,,home,furniture,storage,,storage shelves  bookcases office shelving
storage,shelves  bookcases,wallmounted shelving  storage,7.0,,home,furniture,storage,,storage shelves  bookcases wallmounted shelving  storage
storage,shelving systems,coat racks,3.0,,home,furniture,storage,,storage shelving systems coat racks
storage,shelving systems,entryway storage  organization,10.0,,home,furniture,storage,,storage shelving systems entryway storage  organization
storage,shelving systems,freestanding shelving  storage,34.0,,home,furniture,storage,,storage shelving systems freestanding shelving  storage
storage,shelving systems,office  file storage,0.0,,home,furniture,storage,,storage shelving systems office  file storage
storage,shelving systems,office shelving,33.0,,home,furniture,storage,,storage shelving systems office shelving
storage,shelving systems,storage accessories,2.0,,home,furniture,storage,,storage shelving systems storage accessories
storage,shelving systems,wallmounted shelving  storage,34.0,,home,furniture,storage,,storage shelving systems wallmounted shelving  storage
